local_id,global_id,sample_order,project_nr,production_order_number,mes_id,leepa_id,material_nr,product_hierarchy,product_hierarchy_name,purchasing_plant,purchaser,destination,sample_shop,configuration_version,software_version,status,status_de,location,availability_from,availability_until,total_usage_hours,total_test_count,open_defects_count,high_defects_count,health_score,reuse_score,data_quality_score,notes
4301828993017651,019DCC3C-5800-7D5E-BF60-7A8B9CDAEBFC,042/1,P9413-01,50001517,458123,L-33388,4897.B4T.0S3,100220,ESP10 CP,Abstatt,Mia Schmidt,Paul Müller,BhP,B4T-A,SW_11.0.2,available,verfügbar,Musterlager HN,2026-06-23,2026-08-18,6,1,0,0,98,86,86,Aus dem Second-Hand-Sample-Market-Datenbestand übernommen und konsolidiert.
4301827613015320,019DCC3C-5800-7C4D-AE5F-6A7B8C9DAEBF,028/1,P8190-01,50001515,917654,L-12345,4897.B4T.0NM,100170,ESP10 TE,RBJP TgP,Akihiro Tanaka,Ren Nakamura,BhP,B4T-B,SW_11.1.0,reserved,reserviert,Prüfstand HN-02,2026-07-06,2026-08-12,23,2,2,0,79,56,77,Aus dem Second-Hand-Sample-Market-Datenbestand übernommen und konsolidiert.
0805038020400411,019DCC3C-5800-7A2B-8C3D-4E5F6A7B8C9D,519/1,P5510-01,50001514,203876,L-98765,4897.B4T.0RG,100170,ESP10 TE,RBJP,Yuki Sato,Sakura Tanaka,BhP,B4T-C,SW_10.3.1,available,verfügbar,Musterlager HN,2026-06-23,2026-10-04,139,3,0,0,76,80,77,Aus dem Second-Hand-Sample-Market-Datenbestand übernommen und konsolidiert.
4301827613015290,019E3F93-FC09-73B4-D5C6-F071A2B3C4D5,423/1,P7553-01,50301514,761905,L-54321,4897.B4T.0N4,100172,ESP10 CB,RBJP TgP,Kaito Yamamoto,Haruto Suzuki,BhP,B4T-D,SW_10.4.0,in_test,im Test,Feldtest Pool,2026-06-29,2026-09-05,109,2,1,0,72,54,82,Aus dem Second-Hand-Sample-Market-Datenbestand übernommen und konsolidiert.
4401831543017350,019D66D3-B118-71B3-86DD-ABE4A11ED414,173/1,P2911-01,50001503,149287,L-00112,4897.B4T.0PR,100172,ESP10 CB,RBJP TgP,Akihiro Tanaka,Ren Nakamura,BhP,B4T-A,SW_11.0.2,blocked,gesperrt,Wartezone QS,2026-07-12,2026-08-07,186,5,2,1,15,13,77,Aus dem Second-Hand-Sample-Market-Datenbestand übernommen und konsolidiert.
4301827613015300,019DCDD5-B1AA-78C2-B25A-D7CC01A44C2B,538/1,P4381-01,50001504,149244,L-77889,4897.B4T.0RJ,100172,ESP10 CB,RBJP TgP,Hana Kobayashi,Daiki Ito,BhP,B4T-B,SW_11.1.0,available,verfügbar,Musterlager HN,2026-06-23,2026-09-15,120,5,2,0,58,62,91,Aus dem Second-Hand-Sample-Market-Datenbestand übernommen und konsolidiert.
4301800000000007,019E0000-0000-0007-8000-000000000007,121/1,P4770-02,50002007,717024,L-38864,4897.B4T.0PR,100172,ESP10 CB,Abstatt,Mia Schmidt,Paul Müller,BhP,B4T-B,SW_10.3.1,in_test,im Test,Musterlager HN,2026-07-23,2026-09-03,71,2,0,0,89,72,75,Ergänzender Datensatz aus dem Prüfmusterbestand.
4301800000000008,019E0000-0000-0008-8000-000000000008,512/1,P6559-02,50002008,939482,L-24322,4897.B4T.0N4,100170,ESP10 TE,RBJP TgP,Akihiro Tanaka,Ren Nakamura,BhP,B4T-D,SW_10.4.0,in_test,im Test,Validierung Abstatt,2026-07-01,2026-08-27,249,6,0,0,65,52,90,Ergänzender Datensatz aus dem Prüfmusterbestand.
4301800000000009,019E0000-0000-0009-8000-000000000009,513/1,P2964-02,50002009,697347,L-42271,4897.B4T.0PR,100220,ESP10 CP,Abstatt,Laura Fischer,Paul Müller,BhP,B4T-D,SW_11.0.2,available,verfügbar,Prüfstand HN-02,2026-06-23,2026-08-18,445,2,0,0,52,65,85,Ergänzender Datensatz aus dem Prüfmusterbestand.
4301800000000010,019E0000-0000-0010-8000-000000000010,261/1,P8179-02,50002010,974244,L-81200,4897.B4T.0RG,100172,ESP10 CB,RBJP,Laura Fischer,Musterkoordination,BhP,B4T-A,SW_11.0.2,available,verfügbar,Wartezone QS,2026-06-23,2026-08-05,188,1,0,0,75,74,80,Ergänzender Datensatz aus dem Prüfmusterbestand.
4301800000000011,019E0000-0000-0011-8000-000000000011,357/1,P1832-02,50002011,196781,L-93136,4897.B4T.0RG,100172,ESP10 CB,Hildesheim,Hana Kobayashi,Paul Müller,BhP,B4T-A,SW_11.0.2,available,verfügbar,Prüfstand HN-01,2026-06-23,2026-10-12,361,6,0,0,47,66,85,Ergänzender Datensatz aus dem Prüfmusterbestand.
4301800000000012,019E0000-0000-0012-8000-000000000012,124/1,P4164-02,50002012,517821,L-53025,4897.B4T.0S3,100172,ESP10 CB,RBJP,Mia Schmidt,Sakura Tanaka,BhP,B4T-C,SW_11.1.0,in_test,im Test,Wartezone QS,2026-07-22,2026-09-29,123,2,1,0,74,51,85,Ergänzender Datensatz aus dem Prüfmusterbestand.
4301800000000013,019E0000-0000-0013-8000-000000000013,779/1,P3041-02,50002013,854717,L-49363,4897.B4T.0PR,100172,ESP10 CB,RBJP,Max Weber,Sakura Tanaka,BhP,B4T-D,SW_11.0.2,available,verfügbar,Feldtest Pool,2026-06-23,2026-08-08,196,4,0,0,69,78,80,Ergänzender Datensatz aus dem Prüfmusterbestand.
4301800000000014,019E0000-0000-0014-8000-000000000014,566/1,P7790-02,50002014,760356,L-85454,4897.B4T.0NM,100170,ESP10 TE,RBJP TgP,Max Weber,Projektteam V&V,BhP,B4T-D,SW_10.4.0,available,verfügbar,Prüfstand HN-01,2026-06-23,2026-10-14,22,1,0,0,89,80,75,Ergänzender Datensatz aus dem Prüfmusterbestand.
4301800000000015,019E0000-0000-0015-8000-000000000015,873/1,P8251-02,50002015,742412,L-76162,4897.B4T.0N4,100220,ESP10 CP,Hildesheim,Laura Fischer,Projektteam V&V,BhP,B4T-B,SW_11.1.0,available,verfügbar,Validierung Abstatt,2026-06-23,2026-08-25,420,4,2,0,28,42,80,Ergänzender Datensatz aus dem Prüfmusterbestand.
4301800000000016,019E0000-0000-0016-8000-000000000016,960/1,P8657-02,50002016,233827,L-91560,4897.B4T.0RG,100170,ESP10 TE,Abstatt,Max Weber,Musterkoordination,BhP,B4T-A,SW_10.3.1,in_test,im Test,Wartezone QS,2026-07-09,2026-08-09,258,1,1,0,59,35,90,Ergänzender Datensatz aus dem Prüfmusterbestand.


